EmployeeID,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1,35,Non-Travel,1895,Research & Development,8,5,Other,1,1,1,Male,387,2,5,Research Scientist,1,Married,68513,9223,7,Y,Yes,18,3,1,80,1,27,2,4,7,4,2,3,Yes
2,24,Travel_Frequently,1511,Human Resources,13,1,Other,1,2,3,Female,285,2,1,Manager,3,Single,109595,9467,4,Y,Yes,2,2,1,80,3,17,3,1,0,1,0,1,No
3,59,Travel_Frequently,3818,Research & Development,18,2,Human Resources,1,3,2,Female,128,2,1,Healthcare Representative,2,Married,169680,15145,4,Y,No,2,2,3,80,1,31,3,4,2,2,1,0,No
4,53,Non-Travel,3087,Sales,16,1,Life Sciences,1,4,4,Male,178,2,4,Sales Executive,4,Divorced,78876,4081,6,Y,No,12,4,3,80,4,0,5,3,17,3,17,8,No
5,25,Non-Travel,4565,Research & Development,21,3,Human Resources,1,5,3,Male,178,3,2,Healthcare Representative,1,Divorced,123971,19378,0,Y,Yes,19,3,4,80,0,7,2,2,4,2,1,0,No
6,23,Non-Travel,2085,Sales,17,5,Technical Degree,1,6,2,Male,376,2,3,Manager,2,Married,137399,14236,7,Y,No,16,4,1,80,1,14,0,4,0,1,0,0,No
7,22,Travel_Rarely,3740,Research & Development,16,2,Other,1,7,3,Male,392,4,2,Research Scientist,1,Married,70015,15338,3,Y,Yes,3,1,4,80,2,27,3,1,0,1,0,0,Yes
8,39,Travel_Rarely,2023,Sales,28,1,Technical Degree,1,8,2,Male,125,1,1,Manager,4,Single,75183,7449,6,Y,Yes,15,4,2,80,3,3,1,4,3,3,0,3,Yes
9,36,Non-Travel,3372,Sales,24,5,Life Sciences,1,9,2,Female,129,1,5,Sales Representative,4,Married,192607,18477,8,Y,No,5,1,1,80,1,4,4,2,13,1,10,13,No
10,54,Non-Travel,3743,Sales,23,3,Medical,1,10,4,Female,302,2,3,Sales Executive,1,Married,161760,12360,1,Y,No,0,4,1,80,0,34,1,3,7,4,2,5,No
11,41,Non-Travel,4845,Research & Development,29,2,Marketing,1,11,1,Male,154,2,3,Laboratory Technician,3,Married,51352,8901,5,Y,No,6,3,4,80,2,3,0,3,9,6,4,0,No
12,58,Travel_Frequently,4702,Sales,5,5,Life Sciences,1,12,1,Female,398,2,4,Sales Executive,4,Single,52357,3370,4,Y,No,11,1,3,80,1,15,5,1,8,1,5,8,Yes
13,57,Travel_Rarely,4204,Research & Development,14,2,Marketing,1,13,4,Male,155,4,1,Manager,2,Married,72059,9288,3,Y,No,14,3,3,80,1,14,0,1,4,1,3,2,No
14,35,Travel_Rarely,1731,Sales,19,3,Life Sciences,1,14,1,Male,322,3,3,Sales Executive,3,Married,178160,18758,1,Y,No,12,2,3,80,0,27,0,1,11,8,8,10,No
15,41,Travel_Rarely,3077,Research & Development,10,4,Marketing,1,15,3,Female,251,2,2,Laboratory Technician,3,Married,28343,14423,2,Y,No,19,3,4,80,4,0,2,1,13,4,3,6,No
16,59,Travel_Rarely,3111,Research & Development,22,5,Marketing,1,16,4,Male,220,3,2,Research Director,2,Single,131893,6828,0,Y,No,1,2,4,80,4,4,3,2,10,6,10,9,No
17,42,Travel_Frequently,3121,Sales,15,1,Other,1,17,1,Male,162,4,2,Manager,1,Married,114766,19404,8,Y,Yes,19,3,4,80,4,32,3,4,15,14,5,15,Yes
18,58,Travel_Rarely,1960,Research & Development,9,3,Marketing,1,18,3,Male,170,2,2,Laboratory Technician,2,Married,146655,7007,3,Y,No,2,4,4,80,2,34,3,4,8,6,0,3,Yes
19,55,Travel_Rarely,3204,Research & Development,24,5,Other,1,19,3,Male,349,2,3,Manager,1,Married,160913,17913,0,Y,No,12,3,4,80,1,29,1,3,0,0,1,0,No
